EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
1,     ,Regular,09/01/2017, ,09/01/2017, ,"-195,58",NA,"61000,",3,"0,00","-586,74","153.450,00","587 (0,103)","571.667,26"
2,     ,Regular,10/01/2017, ,10/01/2017, ,"-239,78",NA,"61000,",3,"0,00","-719,34","153.450,00","1.306 (0,228)","570.947,92"
3,     ,Regular,11/01/2017, ,11/01/2017, ,"-271,94",NA,"61000,",3,"0,00","-815,82","153.450,00","2.122 (0,371)","570.132,10"
4,     ,Regular,12/01/2017, ,12/01/2017, ,"818,01",NA,"61000,",3,"0,00","2.454,03","153.450,00","0 (0,00)","572.586,13"
5,     ,Regular,13/01/2017, ,13/01/2017, ,"-1.184,13",NA,"61000,",3,"0,00","-3.552,39","153.450,00","3.552 (0,620)","569.033,74"
6,     ,Regular,16/01/2017, ,16/01/2017, ,"-1,66",NA,"61000,",3,"0,00","-4,98","153.450,00","3.557 (0,621)","569.028,76"
7,     ,Regular,17/01/2017, ,17/01/2017, ,"-99,36",NA,"61000,",3,"0,00","-298,08","153.450,00","3.855 (0,673)","568.730,68"
8,     ,Regular,18/01/2017, ,18/01/2017, ,"34,36",NA,"61000,",3,"0,00","103,08","153.450,00","3.752 (0,655)","568.833,76"
9,     ,Regular,20/01/2017, ,20/01/2017, ,"1.071,00",NA,"61000,",3,"0,00","3.213,00","153.450,00","539 (0,0942)","572.046,76"
10,     ,Regular,23/01/2017, ,23/01/2017, ,"184,08",NA,"61000,",3,"0,00","552,24","153.450,00","0 (0,00)","572.599,00"
11,     ,Regular,24/01/2017, ,24/01/2017, ,"721,05",NA,"61000,",3,"0,00","2.163,15","153.450,00","0 (0,00)","574.762,15"
12,     ,Regular,25/01/2017, ,25/01/2017, ,"-588,90",NA,"61000,",3,"0,00","-1.766,70","153.450,00","1.767 (0,307)","572.995,45"
13,     ,Regular,26/01/2017, ,26/01/2017, ,"731,82",NA,"61000,",3,"0,00","2.195,46","153.450,00","0 (0,00)","575.190,91"
14,     ,Regular,27/01/2017, ,27/01/2017, ,"207,24",NA,"61000,",3,"0,00","621,72","153.450,00","0 (0,00)","575.812,63"
15,     ,Regular,30/01/2017, ,30/01/2017, ,"-63,80",NA,"61000,",3,"0,00","-191,40","153.450,00","191 (0,0332)","575.621,23"
16,     ,Regular,31/01/2017, ,31/01/2017, ,"-475,64",NA,"61000,",3,"0,00","-1.426,92","153.450,00","1.618 (0,281)","574.194,31"
17,     ,Regular,01/02/2017, ,01/02/2017, ,"-753,34",NA,"61000,",3,"0,00","-2.260,02","153.450,00","3.878 (0,674)","571.934,29"
18,     ,Regular,02/02/2017, ,02/02/2017, ,"-363,88",NA,"61000,",3,"0,00","-1.091,64","153.450,00","4.970 (0,863)","570.842,65"
19,     ,Regular,03/02/2017, ,03/02/2017, ,"924,52",NA,"61000,",3,"0,00","2.773,56","153.450,00","2.196 (0,381)","573.616,21"
20,     ,Regular,06/02/2017, ,06/02/2017, ,"1.054,82",NA,"61000,",3,"0,00","3.164,46","153.450,00","0 (0,00)","576.780,67"
21,     ,Regular,07/02/2017, ,07/02/2017, ,"403,90",NA,"61000,",3,"0,00","1.211,70","153.450,00","0 (0,00)","577.992,37"
22,     ,Regular,08/02/2017, ,08/02/2017, ,"1.291,25",NA,"61000,",3,"0,00","3.873,75","153.450,00","0 (0,00)","581.866,12"
23,     ,Regular,09/02/2017, ,09/02/2017, ,"961,18",NA,"61000,",3,"0,00","2.883,54","153.450,00","0 (0,00)","584.749,66"
24,     ,Regular,10/02/2017, ,10/02/2017, ,"-78,55",NA,"61000,",3,"0,00","-235,65","153.450,00","236 (0,0403)","584.514,01"
25,     ,Regular,13/02/2017, ,13/02/2017, ,"-973,02",NA,"61000,",3,"0,00","-2.919,06","153.450,00","3.155 (0,539)","581.594,95"
26,     ,Regular,14/02/2017, ,14/02/2017, ,"369,78",NA,"61000,",3,"0,00","1.109,34","153.450,00","2.045 (0,350)","582.704,29"
27,     ,Regular,15/02/2017, ,15/02/2017, ,"-403,96",NA,"61000,",3,"0,00","-1.211,88","153.450,00","3.257 (0,557)","581.492,41"
28,     ,Regular,16/02/2017, ,16/02/2017, ,"-978,19",NA,"61000,",3,"0,00","-2.934,57","153.450,00","6.192 (1,06)","578.557,84"
29,     ,Regular,17/02/2017, ,17/02/2017, ,"955,33",NA,"61000,",3,"0,00","2.865,99","153.450,00","3.326 (0,569)","581.423,83"
30,     ,Regular,20/02/2017, ,20/02/2017, ,"-66,18",NA,"61000,",3,"0,00","-198,54","153.450,00","3.524 (0,603)","581.225,29"
31,     ,Regular,21/02/2017, ,21/02/2017, ,"-299,66",NA,"61000,",3,"0,00","-898,98","153.450,00","4.423 (0,756)","580.326,31"
32,     ,Regular,22/02/2017, ,22/02/2017, ,"318,90",NA,"61000,",3,"0,00","956,70","153.450,00","3.467 (0,593)","581.283,01"
