EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
1,     ,Regular,13/01/2014, ,13/01/2014, ,"810,77",NA,"61000,",1,"0,00","810,77","51.150,00","0 (0,00)","250.810,77"
2,     ,Regular,14/01/2014, ,14/01/2014, ,"-1.345,67",NA,"61000,",1,"0,00","-1.345,67","51.150,00","1.346 (0,537)","249.465,10"
3,     ,Regular,15/01/2014, ,15/01/2014, ,"-317,62",NA,"61000,",1,"0,00","-317,62","51.150,00","1.663 (0,663)","249.147,48"
4,     ,Regular,16/01/2014, ,16/01/2014, ,"759,22",NA,"61000,",1,"0,00","759,22","51.150,00","904 (0,360)","249.906,70"
5,     ,Regular,17/01/2014, ,17/01/2014, ,"14,91",NA,"61000,",1,"0,00","14,91","51.150,00","889 (0,355)","249.921,61"
6,     ,Regular,20/01/2014, ,20/01/2014, ,"56,34",NA,"61000,",1,"0,00","56,34","51.150,00","833 (0,332)","249.977,95"
7,     ,Regular,23/01/2014, ,23/01/2014, ,"1.000,62",NA,"61000,",1,"0,00","1.000,62","51.150,00","0 (0,00)","250.978,57"
8,     ,Regular,24/01/2014, ,24/01/2014, ,"-1.159,58",NA,"61000,",1,"0,00","-1.159,58","51.150,00","1.160 (0,462)","249.818,99"
9,     ,Regular,27/01/2014, ,27/01/2014, ,"684,62",NA,"61000,",1,"0,00","684,62","51.150,00","475 (0,189)","250.503,61"
10,     ,Regular,28/01/2014, ,28/01/2014, ,"369,98",NA,"61000,",1,"0,00","369,98","51.150,00","105 (0,0418)","250.873,59"
11,     ,Regular,29/01/2014, ,29/01/2014, ,"146,23",NA,"61000,",1,"0,00","146,23","51.150,00","0 (0,00)","251.019,82"
12,     ,Regular,30/01/2014, ,30/01/2014, ,"-205,90",NA,"61000,",1,"0,00","-205,90","51.150,00","206 (0,0820)","250.813,92"
13,     ,Regular,31/01/2014, ,31/01/2014, ,"711,92",NA,"61000,",1,"0,00","711,92","51.150,00","0 (0,00)","251.525,84"
14,     ,Regular,04/02/2014, ,04/02/2014, ,"-825,22",NA,"61000,",1,"0,00","-825,22","51.150,00","825 (0,328)","250.700,62"
15,     ,Regular,05/02/2014, ,05/02/2014, ,"547,28",NA,"61000,",1,"0,00","547,28","51.150,00","278 (0,111)","251.247,90"
16,     ,Regular,06/02/2014, ,06/02/2014, ,"-1.240,77",NA,"61000,",1,"0,00","-1.240,77","51.150,00","1.519 (0,604)","250.007,13"
17,     ,Regular,07/02/2014, ,07/02/2014, ,"118,48",NA,"61000,",1,"0,00","118,48","51.150,00","1.400 (0,557)","250.125,61"
18,     ,Regular,12/02/2014, ,12/02/2014, ,"124,67",NA,"61000,",1,"0,00","124,67","51.150,00","1.276 (0,507)","250.250,28"
19,     ,Regular,13/02/2014, ,13/02/2014, ,"711,51",NA,"61000,",1,"0,00","711,51","51.150,00","564 (0,224)","250.961,79"
20,     ,Regular,14/02/2014, ,14/02/2014, ,"-483,49",NA,"61000,",1,"0,00","-483,49","51.150,00","1.048 (0,416)","250.478,30"
21,     ,Regular,17/02/2014, ,17/02/2014, ,"118,15",NA,"61000,",1,"0,00","118,15","51.150,00","929 (0,370)","250.596,45"
22,     ,Regular,18/02/2014, ,18/02/2014, ,"-451,59",NA,"61000,",1,"0,00","-451,59","51.150,00","1.381 (0,549)","250.144,86"
23,     ,Regular,19/02/2014, ,19/02/2014, ,"-436,82",NA,"61000,",1,"0,00","-436,82","51.150,00","1.818 (0,723)","249.708,04"
24,     ,Regular,21/02/2014, ,21/02/2014, ,"437,55",NA,"61000,",1,"0,00","437,55","51.150,00","1.380 (0,549)","250.145,59"
25,     ,Regular,24/02/2014, ,24/02/2014, ,"-399,31",NA,"61000,",1,"0,00","-399,31","51.150,00","1.780 (0,708)","249.746,28"
26,     ,Regular,25/02/2014, ,25/02/2014, ,"113,06",NA,"61000,",1,"0,00","113,06","51.150,00","1.667 (0,663)","249.859,34"
27,     ,Regular,26/02/2014, ,26/02/2014, ,"35,39",NA,"61000,",1,"0,00","35,39","51.150,00","1.631 (0,648)","249.894,73"
28,     ,Regular,05/03/2014, ,05/03/2014, ,"157,02",NA,"61000,",1,"0,00","157,02","51.150,00","1.474 (0,586)","250.051,75"
29,     ,Regular,06/03/2014, ,06/03/2014, ,"-354,76",NA,"61000,",1,"0,00","-354,76","51.150,00","1.829 (0,727)","249.696,99"
30,     ,Regular,07/03/2014, ,07/03/2014, ,"-347,01",NA,"61000,",1,"0,00","-347,01","51.150,00","2.176 (0,865)","249.349,98"
